metascore,name,userscore
97,Grand Theft Auto V,83
97,Grand Theft Auto V,83
95,The Last of Us,92
94,BioShock Infinite,85
94,BioShock Infinite,86
93,BioShock Infinite,85
93,Super Mario 3D World,89
92,Fire Emblem: Awakening,91
92,Rayman Legends,87
91,Fez,67
91,Rayman Legends,87
91,The Legend of Zelda: A Link Between Worlds,90
91,flower,72
90,Spelunky,73
90,The Legend of Zelda: The Wind Waker HD,89
90,Brothers: A Tale of Two Sons,86
90,Dota 2,65
90,Rayman Legends,82
89,Skylanders Swap Force,61
89,Rocksmith 2014 Edition,79
88,Spelunky,79
88,Deus Ex: Human Revolution - Director's Cut,85
88,Crusader Kings II: The Old Gods,87
88,FIFA 14,58
88,Assassin's Creed IV: Black Flag,82
88,Star Wars Pinball: Balance of the Force,61
88,XCOM: Enemy Within,76
88,Pokemon Y,86
88,The Stanley Parable,80
88,Guacamelee! Gold Edition,73
88,Animal Crossing: New Leaf,87
87,Rocksmith 2014 Edition,75
87,Pokemon X,86
87,Guacamelee!,83
87,The Swapper,87
87,Tomb Raider,84
87,Rayman Legends,84
87,Tearaway,89
87,MLB 13: The Show,79
87,FIFA 14,63
87,Hotline Miami,83
87,Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,74
87,Pinball FX 2: Star Wars Pinball,64
87,Europa Universalis IV,88
87,Diablo III,67
87,Pikmin 3,87
87,Velocity Ultra,79
87,NBA 2K14,49
86,Gone Home,54
86,Pac-Man Championship Edition DX +,75
86,Out of the Park Baseball 14,82
86,NBA 2K14,57
86,Saints Row IV,74
86,Need for Speed: Most Wanted U,77
86,Tomb Raider,86
86,Borderlands 2: Tiny Tina's Assault on Dragon Keep,84
97,Grand Theft Auto V,78
86,Starcraft II: Heart of the Swarm,79
86,Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,80
86,Brothers: A Tale of Two Sons,87
86,Tomb Raider,85
86,DmC: Devil May Cry,51
86,Assassin's Creed IV: Black Flag,79
86,Minecraft: PlayStation 3 Edition,67
86,Diablo III,64
86,Rocksmith 2014 Edition,84
86,FIFA 14,43
97,Grand Theft Auto V,83
95,The Last of Us Remastered,91
92,Super Smash Bros. for Wii U,90
91,Dark Souls II,79
91,Bayonetta 2,90
91,Kentucky Route Zero - Act III,66
91,Dark Souls II,72
91,Dark Souls II,81
90,Diablo III: Ultimate Evil Edition,80
90,Rayman Legends,85
86,XCOM: Enemy Within,80
86,Luigi's Mansion: Dark Moon,85
86,Path of Exile,80
85,Ni no Kuni: Wrath of the White Witch,87
85,The Wolf Among Us: Episode 1 - Faith,88
85,Battlefield 4,70
85,NBA 2K14,65
85,Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,81
90,Velocity 2X,72
90,Fez,63
90,Shovel Knight,83
90,Guacamelee! Super Turbo Championship Edition,76
89,Out of the Park Baseball 15,71
89,Dragon Age: Inquisition,74
